name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_391,True,True,0.9240,2.35,0.84,0.6954,0.6164,0.692,True
test_392,True,True,1.3970,4.34,2.09,0.5428,0.4592,0.688,True
test_393,True,True,1.1763,2.21,0.26,0.6277,0.4897,0.705,True
test_394,True,True,28.5981,99.49,53.94,0.0263,0.4784,0.686,False
test_395,True,True,0.5771,2.96,2.02,0.4888,0.5648,0.719,True
test_396,True,True,0.1139,1.25,1.44,0.6600,0.5003,0.712,True
test_397,True,True,0.5710,0.42,0.55,0.7977,0.5813,0.700,True
test_398,True,True,0.1213,0.17,0.38,1.0000,0.6215,0.671,True
test_399,True,True,28.7331,107.33,61.55,0.0081,0.6461,0.707,False
test_400,True,True,0.9180,1.13,0.34,0.6907,0.5410,0.686,True
test_401,True,True,0.1475,0.71,0.46,0.7597,0.5447,0.723,True
test_402,True,True,1.1077,2.98,1.20,0.6209,0.4993,0.706,True
test_403,True,True,1.2075,3.35,1.40,0.5428,0.5012,0.706,True
test_404,True,True,0.1551,0.06,0.20,1.0000,0.5705,0.716,True
test_405,True,True,0.9001,3.11,1.67,0.5685,0.4959,0.700,True
test_406,True,True,0.4534,0.20,0.54,0.7583,0.5475,0.711,True
test_407,True,True,0.4694,0.16,0.61,0.7963,0.4985,0.703,True
test_408,True,True,0.9326,2.04,0.54,0.7065,0.5257,0.702,True
test_409,True,True,0.0358,1.21,1.15,0.7595,0.4864,0.712,True
test_410,True,True,0.5505,0.27,0.62,0.7940,0.5749,0.716,True
test_411,True,True,15.1060,93.07,69.35,0.0000,0.3239,0.534,False
test_412,True,True,2.4232,10.35,14.32,0.0000,0.3025,0.000,False
test_413,True,True,0.2103,0.15,0.48,0.8676,0.3893,0.599,True
test_414,True,True,4.7544,92.88,85.46,0.0000,0.2414,0.071,False
test_415,True,True,2.6155,7.36,3.27,0.2759,0.3198,0.649,True
test_416,True,True,0.6174,4.33,3.36,0.3337,0.4309,0.633,True
test_417,True,True,1.0501,0.31,1.97,0.6100,0.5728,0.663,True
test_418,True,True,1.4646,2.61,0.23,0.6053,0.5760,0.692,True
test_419,True,True,0.1324,0.93,1.15,0.6585,0.5177,0.700,True
test_420,True,True,0.5302,0.61,0.27,0.8721,0.5192,0.712,True
test_421,True,True,4.3357,5.65,1.62,0.2241,0.4188,0.635,True
test_422,True,True,20.7502,12.35,45.28,0.0387,0.4260,0.061,False
test_423,True,True,0.5599,1.29,0.33,0.7962,0.4486,0.656,True
test_424,True,True,3.6404,10.20,4.13,0.2223,0.2462,0.564,False
test_425,True,True,1.4702,3.02,5.52,0.2078,0.2982,0.614,True
test_426,True,True,26.7015,4.69,47.10,0.0309,0.2139,0.193,False
test_427,True,True,0.1621,0.49,0.75,0.8657,0.3900,0.590,True
test_428,True,True,1.2387,3.95,1.82,0.5515,0.3560,0.659,True
test_429,True,True,0.7062,2.48,1.28,0.6612,0.4271,0.665,True
